second,Volt,Volt
-6.46000E-03,+15.10553E-03,-664.86435E-03
-6.45000E-03,+59.32663E-03,-507.27640E-03
-6.44000E-03,+3.04522E-03,-349.68846E-03
-6.43000E-03,+75.40703E-03,-152.70352E-03
-6.42000E-03,-974.88E-06,-73.90955E-03
-6.41000E-03,+27.16583E-03,+123.07538E-03
-6.40000E-03,-17.05528E-03,+241.26634E-03
-6.39000E-03,+11.08542E-03,+497.34675E-03
-6.38000E-03,-29.11558E-03,+595.83922E-03
-6.37000E-03,+15.10553E-03,+773.12566E-03
-6.36000E-03,-21.07538E-03,+832.22114E-03
-6.35000E-03,-974.88E-06,+832.22114E-03
-6.34000E-03,-65.29648E-03,+812.52264E-03
-6.33000E-03,-69.31658E-03,+773.12566E-03
-6.32000E-03,-97.45729E-03,+753.42716E-03
-6.31000E-03,-57.25628E-03,+733.72867E-03
-6.30000E-03,-61.27638E-03,+595.83922E-03
-6.29000E-03,-65.29648E-03,+517.04524E-03
-6.28000E-03,-17.05528E-03,+418.55278E-03
-6.27000E-03,-101.47739E-03,+182.17086E-03
-6.26000E-03,-37.15578E-03,+123.07538E-03
-6.25000E-03,-97.45729E-03,-192.10051E-03
-6.24000E-03,+11.08542E-03,-211.79900E-03
-6.23000E-03,-17.05528E-03,-389.08544E-03
-6.22000E-03,+19.12563E-03,-507.27640E-03
-6.21000E-03,-41.17588E-03,-684.56284E-03
-6.20000E-03,-25.09548E-03,-783.05531E-03
-6.19000E-03,-21.07538E-03,-940.64325E-03
-6.18000E-03,+35.20603E-03,-842.15079E-03
-6.17000E-03,-13.03518E-03,-999.73873E-03
-6.16000E-03,+3.04522E-03,-940.64325E-03
-6.15000E-03,+79.42713E-03,-763.35681E-03
-6.14000E-03,+51.28643E-03,-704.26133E-03
-6.13000E-03,+19.12563E-03,-664.86435E-03
-6.12000E-03,+31.18593E-03,-605.76887E-03
-6.11000E-03,+55.30653E-03,-369.38695E-03
-6.10000E-03,-974.88E-06,-310.29147E-03
-6.09000E-03,+3.04522E-03,-113.30654E-03
-6.08000E-03,+91.48743E-03,+162.47237E-03
-6.07000E-03,+23.14573E-03,+221.56785E-03
-6.06000E-03,-25.09548E-03,+398.85429E-03
-6.05000E-03,-9.01508E-03,+556.44223E-03
-6.04000E-03,-45.19598E-03,+674.63319E-03
-6.03000E-03,+27.16583E-03,+851.91963E-03
-6.02000E-03,+43.24623E-03,+950.41209E-03
-6.01000E-03,-37.15578E-03,+832.22114E-03
-6.00000E-03,-9.01508E-03,+950.41209E-03
-5.99000E-03,-69.31658E-03,+832.22114E-03
-5.98000E-03,-65.29648E-03,+733.72867E-03
-5.97000E-03,-97.45729E-03,+674.63319E-03
-5.96000E-03,-45.19598E-03,+595.83922E-03
-5.95000E-03,-73.33669E-03,+418.55278E-03
-5.94000E-03,-37.15578E-03,+320.06031E-03
-5.93000E-03,-17.05528E-03,+182.17086E-03
-5.92000E-03,-81.37689E-03,-113.30654E-03
-5.91000E-03,-9.01508E-03,-113.30654E-03
-5.90000E-03,-21.07538E-03,-369.38695E-03
-5.89000E-03,-57.25628E-03,-566.37188E-03
-5.88000E-03,-45.19598E-03,-645.16585E-03
-5.87000E-03,+19.12563E-03,-763.35681E-03
-5.86000E-03,+55.30653E-03,-783.05531E-03
-5.85000E-03,-4.99498E-03,-881.54777E-03
-5.84000E-03,+51.28643E-03,-901.24626E-03
-5.83000E-03,+71.38693E-03,-881.54777E-03
-5.82000E-03,+59.32663E-03,-861.84928E-03
-5.81000E-03,+39.22613E-03,-783.05531E-03
-5.80000E-03,+27.16583E-03,-743.65832E-03
-5.79000E-03,+39.22613E-03,-546.67339E-03
-5.78000E-03,+43.24623E-03,-507.27640E-03
-5.77000E-03,+11.08542E-03,-290.59298E-03
-5.76000E-03,-9.01508E-03,-172.40202E-03
-5.75000E-03,-974.88E-06,-34.51256E-03
-5.74000E-03,+59.32663E-03,+260.96483E-03
-5.73000E-03,+3.04522E-03,+398.85429E-03
-5.72000E-03,+39.22613E-03,+576.14072E-03
-5.71000E-03,+43.24623E-03,+714.03018E-03
-5.70000E-03,+11.08542E-03,+832.22114E-03
-5.69000E-03,-4.99498E-03,+871.61812E-03
-5.68000E-03,+7.06532E-03,+871.61812E-03
-5.67000E-03,-25.09548E-03,+851.91963E-03
-5.66000E-03,-57.25628E-03,+851.91963E-03
-5.65000E-03,-73.33669E-03,+753.42716E-03
-5.64000E-03,-13.03518E-03,+812.52264E-03
-5.63000E-03,-101.47739E-03,+536.74374E-03
-5.62000E-03,-53.23618E-03,+517.04524E-03
-5.61000E-03,-57.25628E-03,+379.15579E-03
-5.60000E-03,-77.35679E-03,+182.17086E-03
-5.59000E-03,-17.05528E-03,+83.67839E-03
-5.58000E-03,-61.27638E-03,-172.40202E-03
-5.57000E-03,-25.09548E-03,-251.19599E-03
-5.56000E-03,-69.31658E-03,-467.87941E-03
-5.55000E-03,+11.08542E-03,-546.67339E-03
-5.54000E-03,+7.06532E-03,-704.26133E-03
-5.53000E-03,+11.08542E-03,-783.05531E-03
-5.52000E-03,+71.38693E-03,-802.75380E-03
-5.51000E-03,+55.30653E-03,-881.54777E-03
-5.50000E-03,-29.11558E-03,-980.04024E-03
-5.49000E-03,+67.36683E-03,-783.05531E-03
-5.48000E-03,+59.32663E-03,-763.35681E-03
-5.47000E-03,+71.38693E-03,-645.16585E-03
-5.46000E-03,+79.42713E-03,-586.07037E-03
-5.45000E-03,-4.99498E-03,-487.57791E-03
-5.44000E-03,+11.08542E-03,-428.48243E-03
-5.43000E-03,+75.40703E-03,-93.60804E-03
-5.42000E-03,+59.32663E-03,+4.88442E-03
-5.41000E-03,+15.10553E-03,+103.37689E-03
-5.40000E-03,+63.34673E-03,+418.55278E-03
-5.39000E-03,+35.20603E-03,+517.04524E-03
-5.38000E-03,+31.18593E-03,+674.63319E-03
-5.37000E-03,+39.22613E-03,+753.42716E-03
-5.36000E-03,-974.88E-06,+792.82415E-03
-5.35000E-03,-33.13568E-03,+871.61812E-03
-5.34000E-03,+7.06532E-03,+891.31661E-03
-5.33000E-03,-17.05528E-03,+891.31662E-03
-5.32000E-03,-109.51759E-03,+773.12566E-03
-5.31000E-03,-25.09548E-03,+851.91963E-03
-5.30000E-03,-45.19598E-03,+635.23620E-03
-5.29000E-03,-69.31658E-03,+517.04524E-03
-5.28000E-03,-974.88E-06,+457.94976E-03
-5.27000E-03,-21.07538E-03,+241.26634E-03
-5.26000E-03,-97.45729E-03,+44.28141E-03
-5.25000E-03,-117.55779E-03,-172.40202E-03
-5.24000E-03,-73.33669E-03,-251.19599E-03
-5.23000E-03,-81.37689E-03,-487.57791E-03
-5.22000E-03,-77.35679E-03,-645.16585E-03
-5.21000E-03,+3.04522E-03,-664.86435E-03
-5.20000E-03,-17.05528E-03,-763.35681E-03
-5.19000E-03,-33.13568E-03,-920.94476E-03
-5.18000E-03,+67.36683E-03,-842.15079E-03
-5.17000E-03,+47.26633E-03,-901.24626E-03
-5.16000E-03,+11.08542E-03,-960.34174E-03
-5.15000E-03,+39.22613E-03,-861.84928E-03
-5.14000E-03,-9.01508E-03,-802.75380E-03
-5.13000E-03,+55.30653E-03,-625.46736E-03
-5.12000E-03,+19.12563E-03,-566.37188E-03
-5.11000E-03,+55.30653E-03,-329.98996E-03
-5.10000E-03,+39.22613E-03,-172.40202E-03
-5.09000E-03,+19.12563E-03,-133.00503E-03
-5.08000E-03,+43.24623E-03,+182.17086E-03
-5.07000E-03,+63.34673E-03,+359.45730E-03
-5.06000E-03,-33.13568E-03,+320.06031E-03
-5.05000E-03,+55.30653E-03,+576.14072E-03
-5.04000E-03,-25.09548E-03,+635.23620E-03
-5.03000E-03,+43.24623E-03,+832.22114E-03
-5.02000E-03,-9.01508E-03,+911.01511E-03
-5.01000E-03,-25.09548E-03,+851.91963E-03
-5.00000E-03,+15.10553E-03,+989.80908E-03
-4.99000E-03,-9.01508E-03,+930.71360E-03
-4.98000E-03,+11.08542E-03,+832.22114E-03
-4.97000E-03,-69.31658E-03,+714.03018E-03
-4.96000E-03,-69.31658E-03,+517.04524E-03
-4.95000E-03,-89.41709E-03,+418.55278E-03
-4.94000E-03,-17.05528E-03,+280.66333E-03
-4.93000E-03,-65.29648E-03,+103.37689E-03
-4.92000E-03,-101.47739E-03,-133.00503E-03
-4.91000E-03,-85.39699E-03,-310.29147E-03
-4.90000E-03,-33.13568E-03,-349.68846E-03
-4.89000E-03,-974.88E-06,-526.97489E-03
-4.88000E-03,+43.24623E-03,-605.76887E-03
